Name,Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
User 1,2016-01-01,1923,3456,0.98,10,748,156,0,0,512,0,0,0,0
User 1,2016-01-02,2170,6434,1.83,9,794,232,12,1,814,0,0,0,0
User 1,2016-01-03,2083,4800,1.37,8,769,186,0,0,660,0,0,0,0
User 1,2016-01-04,2516,12720,3.62,16,761,222,15,41,1214,0,0,0,0
User 1,2016-01-05,2364,11316,3.22,19,727,217,5,16,1018,0,0,0,0
User 1,2016-01-06,2213,9083,2.62,15,766,218,0,0,853,0,0,0,0
User 1,2016-01-07,2305,10927,3.2,17,647,189,16,26,981,0,0,0,0
User 1,2016-01-08,2341,9365,2.67,8,599,268,0,0,1037,0,0,0,0
User 1,2016-01-09,1829,2136,0.61,0,687,148,0,0,418,0,0,0,0
User 1,2016-01-10,2138,7325,2.08,2,537,219,4,4,800,0,0,0,0
User 1,2016-01-11,2324,11160,3.21,17,657,220,6,26,1022,0,0,0,0
User 1,2016-01-12,2265,10064,2.86,20,742,208,4,6,902,0,0,0,0
User 1,2016-01-13,2261,9958,2.89,10,741,232,2,8,935,0,0,0,0
User 1,2016-01-14,2308,10046,2.89,13,671,214,9,17,965,0,0,0,0
User 1,2016-01-15,2458,12664,3.66,13,696,262,10,20,1168,0,0,0,0
User 1,2016-01-16,2526,14451,4.11,24,551,233,37,41,1272,0,0,0,0
User 1,2016-01-17,2738,12017,3.42,10,615,221,75,47,1532,0,0,0,0
User 1,2016-01-18,1957,4966,1.41,12,665,150,0,0,549,0,0,0,0
User 1,2016-01-19,2142,9421,2.68,10,731,189,7,3,794,0,0,0,0
User 1,2016-01-20,2338,11260,3.2,18,656,272,0,0,1049,0,0,0,0
User 1,2016-01-21,2000,6868,1.95,14,635,139,3,7,597,0,0,0,0
User 1,2016-01-22,2904,17056,4.91,12,514,380,19,34,1750,0,0,0,0
User 1,2016-01-23,2409,11233,3.26,12,477,164,36,51,1122,0,0,0,0
User 1,2016-01-24,2850,15110,4.3,10,671,337,38,36,1709,0,0,0,0
User 1,2016-01-25,2441,12960,4.06,28,643,170,15,44,1104,0,0,0,0
User 1,2016-01-26,2138,7770,2.21,10,770,196,8,2,760,0,0,0,0
User 1,2016-01-27,2133,8815,2.51,11,717,190,0,0,764,0,0,0,0
User 1,2016-01-28,2116,7717,2.2,12,666,191,9,1,749,0,0,0,0
User 1,2016-01-29,2416,13012,3.7,26,626,239,35,21,1162,0,0,0,0
User 1,2016-01-30,2450,12245,3.48,20,514,261,29,34,1226,0,0,0,0
User 1,2016-01-31,2951,12449,3.57,9,563,202,31,87,1733,0,0,0,0
User 1,2016-02-01,2090,7016,2,6,620,160,21,5,726,0,0,0,0
User 1,2016-02-02,2279,11811,3.36,13,720,210,9,21,977,0,0,0,0
User 1,2016-02-03,2264,10526,3.05,40,664,225,0,0,922,0,0,0,0
User 1,2016-02-04,2163,10069,2.93,16,700,188,0,0,804,0,0,0,0
User 1,2016-02-05,2404,11559,3.29,18,718,237,20,25,1119,0,0,0,0
User 1,2016-02-06,1927,3894,1.11,8,719,178,0,0,546,0,0,0,0
User 1,2016-02-07,2313,9435,3.03,7,694,215,2,30,1006,0,0,0,0
User 1,2016-02-08,2496,9996,2.88,16,617,255,37,24,1229,0,0,0,0
User 1,2016-02-09,1809,2795,0.8,2,825,126,0,0,384,0,0,0,0
User 1,2016-02-10,1848,2695,0.77,7,813,166,0,0,474,0,0,0,0
User 1,2016-02-11,2020,5733,1.63,9,885,188,0,0,665,0,0,0,0
User 1,2016-02-12,2053,5604,1.59,4,1234,206,0,0,686,0,0,0,0
User 1,2016-02-13,2134,6910,2,12,634,212,3,5,768,0,0,0,0
User 1,2016-02-14,1919,4121,1.17,5,589,135,2,6,485,0,0,0,0
User 1,2016-02-15,2054,6971,1.98,10,534,188,0,0,686,0,0,0,0
User 1,2016-02-16,2259,10818,3.08,14,710,227,2,8,941,0,0,0,0
User 1,2016-02-17,2365,12009,3.42,15,659,270,5,4,1087,0,0,0,0
User 1,2016-02-18,2301,10601,3.11,14,588,220,3,10,967,0,0,0,0
User 1,2016-02-19,1669,1063,0.3,0,858,78,0,0,220,0,0,0,0
User 1,2016-02-20,2150,8531,2.46,8,608,210,4,13,832,0,0,0,0
User 1,2016-02-21,2839,12278,3.49,10,559,237,43,73,1644,0,0,0,0
User 1,2016-02-22,1522,2463,0.7,5,553,96,0,0,308,0,0,0,0
User 2,2016-01-23,1745,4176,1.89,15,1307,133,0,0,432,0,0,0,0
User 2,2016-01-24,1418,19,0.01,0,1438,2,0,0,5,0,0,0,0
User 2,2016-01-25,1941,4586,2.09,8,1285,129,8,18,645,0,0,0,0
User 2,2016-01-26,1825,3878,1.75,11,1310,118,0,12,502,0,0,0,0
User 2,2016-01-27,2091,6094,2.75,23,1248,159,9,24,826,0,0,0,0
User 2,2016-01-28,2097,6559,2.96,16,1231,179,7,23,854,0,0,0,0
